#products 19
1 2 2025 768 1248 9 384 416 0 192 384 0 192 448 254.00 305.00 206.00 2.90 1 0 0 1 0 0 1
2 3 1818 720 1080 18 240 440 0 240 220 0 240 420 243.00 254.00 206.00 2.51 1 0 0 1 0 0 2
3 3 616 240 360 16 240 120 0 0 120 0 0 120 243.00 254.00 206.00 2.51 1 0 0 1 0 0 3
4 3 610 0 600 10 0 300 0 0 140 0 0 160 243.00 254.00 206.00 2.51 1 0 0 1 0 0 4
5 3 1458 960 480 18 240 120 0 480 120 0 240 240 243.00 254.00 206.00 2.51 1 0 0 1 0 0 5
6 3 604 240 360 4 0 160 0 0 100 0 240 100 243.00 254.00 206.00 2.51 1 0 0 1 0 0 6
7 3 1804 1008 792 4 144 252 0 432 216 0 432 324 254.00 406.00 206.00 4.23 1 0 0 1 0 0 7
8 3 16559 9503 7052 4 4472 1892 0 2795 2365 0 2236 2795 107.00 250.00 199.00 1.56 1 0 0 1 0 0 8
9 2 1208 550 650 8 220 150 0 330 240 0 0 260 281.00 371.00 230.00 3.77 1 0 0 1 0 0 9
10 3 811 552 253 6 0 23 0 552 115 0 0 115 171.00 297.00 208.00 3.57 1 0 0 1 0 0 10
11 3 1170 276 874 20 0 184 0 276 391 0 0 299 171.00 297.00 208.00 3.57 1 0 0 1 0 0 11
12 3 510 0 504 6 0 273 0 0 168 0 0 63 162.00 324.00 167.00 1.19 1 0 0 1 0 0 12
13 3 1155 285 855 15 0 361 0 0 285 0 285 209 162.00 381.00 167.00 1.31 1 0 0 1 0 0 13
14 3 583 285 285 13 285 76 0 0 76 0 0 133 162.00 381.00 167.00 1.31 1 0 0 1 0 0 14
15 3 1968 770 1190 8 110 420 0 440 390 0 220 380 281.00 371.00 230.00 4.33 1 0 0 1 0 0 15
16 3 2406 880 1520 6 440 530 0 330 470 0 110 520 281.00 371.00 230.00 4.33 1 0 0 1 0 0 16
17 2 3321 864 2448 9 432 876 0 288 828 0 144 744 306.00 344.00 208.00 6.08 1 0 0 1 0 0 17
18 2 1018 432 576 10 288 180 0 0 204 0 144 192 306.00 344.00 208.00 6.08 1 0 0 1 0 0 18
19 3 115 0 108 7 0 72 0 0 0 0 0 36 192.00 330.00 200.00 3.72 1 0 0 1 0 0 19
#layers 19
1 1016.00 1219.20 206.20 46.45 0 16 12 1
2 1016.00 1214.40 206.20 50.16 0 20 12 2
3 1016.00 1214.40 206.20 50.16 0 20 12 3
4 1016.00 1214.40 206.20 50.16 0 20 12 4
5 1016.00 1214.40 206.20 50.16 0 20 12 5
6 1016.00 1214.40 206.20 50.16 0 20 12 6
7 1016.00 1219.20 206.20 50.72 0 12 12 7
8 1001.50 1181.10 199.10 66.91 0 43 13 8
9 933.40 1124.00 230.10 37.65 0 10 11 9
10 982.50 1200.20 207.80 82.11 0 23 12 10
11 982.50 1200.20 207.80 82.11 0 23 12 11
12 971.60 1133.60 166.60 24.95 0 21 15 12
13 1028.70 1143.00 166.60 24.98 0 19 15 13
14 1028.70 1143.00 166.60 24.91 0 19 15 14
15 933.40 1124.00 230.10 43.32 0 10 11 15
16 933.40 1124.00 230.10 43.32 0 10 11 16
17 1033.30 1225.60 207.80 72.94 0 12 12 17
18 1033.30 1225.60 207.80 72.94 0 12 12 18
19 990.60 1182.60 199.90 66.94 0 18 13 19
#pallets 1
1 1016.00 1219.00 142.00 21.77 
#trucks 1
1 2572.00 16015.00 2743.00 20502.36 914 11176 10296.54 10205.82
