        35       587       756
153972.0000       364       423         1
59660.0000       380       157         4
64200.0000       321       200         1
35495.0000       229       155         8
117760.0000       320       368         1
88928.0000       224       397         2
155946.0000       329       474         1
63150.0000       150       421         2
53404.0000       158       338         2
104796.0000       369       284         2
139946.0000       334       419         1
149548.0000       343       436         1
68013.0000       297       229         1
108016.0000       344       314         2
66906.0000       177       378         6
27880.0000       170       164         2
96170.0000       295       326         1
89376.0000       228       392         2
101814.0000       239       426         1
106020.0000       342       310         2
69552.0000       276       252         5
87312.0000       214       408         1
45156.0000       159       284         3
62300.0000       350       178         3
112796.0000       346       326         1
108028.0000       226       478         2
58089.0000       201       289         1
68620.0000       292       235         3
157850.0000       350       451         1
44444.0000       164       271         4
133029.0000       351       379         1
101661.0000       329       309         1
26040.0000       120       217         5
56072.0000       344       163         3
103452.0000       222       466         1
