        45       134       125
 3240.0000        45        72         1
 2752.0000        64        43         4
 3283.0000        67        49         3
 1840.0000        40        46         2
 5451.0000        79        69         1
 1375.0000        55        25         8
 2944.0000        46        64         2
 1530.0000        34        45         2
 1050.0000        30        35         8
 4599.0000        63        73         1
 1107.0000        27        41         9
 1750.0000        50        35         6
 3538.0000        58        61         3
 1215.0000        45        27         4
 2442.0000        33        74         1
 2847.0000        73        39         3
 2352.0000        48        49         4
 4160.0000        80        52         1
 2664.0000        72        37         3
 1517.0000        37        41         7
 5994.0000        81        74         1
 2964.0000        52        57         4
 1782.0000        54        33         2
 1026.0000        27        38         6
 1134.0000        42        27         6
 3770.0000        58        65         2
 1230.0000        41        30         5
 3869.0000        53        73         2
 4680.0000        60        78         1
 1845.0000        45        41         3
 4745.0000        73        65         1
 1760.0000        40        44         4
  918.0000        34        27         9
 2736.0000        57        48         3
 3116.0000        76        41         2
  891.0000        33        27         5
 3990.0000        70        57         1
 3128.0000        68        46         2
 1860.0000        31        60         5
 2666.0000        43        62         6
 2322.0000        43        54         4
 3360.0000        80        42         1
 1820.0000        70        26         2
 4686.0000        66        71         2
 2124.0000        36        59         6
