        25       100       125
 1012.0000        23        44         6
 1120.0000        20        56         9
  984.0000        24        41         6
 2166.0000        38        57         3
 1311.0000        23        57         4
 2842.0000        58        49         1
 4029.0000        51        79         1
 1505.0000        43        35         3
 2652.0000        39        68         2
 1365.0000        21        65         2
 1920.0000        24        80         3
 3050.0000        50        61         3
 2655.0000        45        59         2
 2898.0000        42        69         1
 3672.0000        54        68         1
 2175.0000        29        75         3
  936.0000        24        39         7
  924.0000        22        42         2
 2968.0000        56        53         1
 1176.0000        24        49         1
 1320.0000        20        66         5
 2385.0000        45        53         4
 1150.0000        23        50         8
 2550.0000        34        75         1
 1064.0000        38        28         3
