        50       456       385
26520.0000       130       204         3
34196.0000       166       206         1
14418.0000       178        81         5
27072.0000       288        94         4
27500.0000       220       125         2
22188.0000       129       172         2
33810.0000       230       147         1
36803.0000       149       247         2
54600.0000       280       195         1
22040.0000       145       152         1
15132.0000       156        97         6
45969.0000       231       199         1
25870.0000       130       199         2
34040.0000       185       184         1
 9570.0000       110        87         4
40572.0000       207       196         2
29746.0000       214       139         4
33938.0000       142       239         3
24255.0000       165       147         1
35520.0000       240       148         2
51106.0000       253       202         1
13516.0000       124       109         5
40880.0000       292       140         1
53940.0000       290       186         1
45220.0000       266       170         2
23856.0000       112       213         2
36480.0000       240       152         2
15624.0000       186        84         4
23392.0000       136       172         3
37758.0000       203       186         2
48321.0000       273       177         2
42872.0000       233       184         1
40922.0000       259       158         2
15120.0000       168        90         8
36960.0000       220       168         4
30607.0000       127       241         2
41172.0000       292       141         2
26040.0000       124       210         2
40385.0000       205       197         1
38514.0000       262       147         2
23520.0000       168       140         2
44250.0000       295       150         2
32277.0000       203       159         3
22294.0000       142       157         1
10848.0000       113        96         3
18236.0000       194        94         5
16468.0000       179        92         4
56700.0000       270       210         1
16992.0000       118       144         1
68912.0000       292       236         1
