        45       356       447
24975.0000       111       225         3
34020.0000       162       210         1
14112.0000       144        98         5
12305.0000       107       115         7
12096.0000       126        96         7
47670.0000       227       210         2
13728.0000       132       104         2
60836.0000       227       268         1
18544.0000       152       122         3
30710.0000       166       185         1
30576.0000       196       156         1
43008.0000       224       192         1
33184.0000       136       244         2
39060.0000       155       252         1
36292.0000       211       172         2
31434.0000       169       186         3
36120.0000       172       210         4
49980.0000       196       255         1
26441.0000       193       137         1
19152.0000       171       112         2
12870.0000       117       110         4
55575.0000       195       285         1
15548.0000        92       169         6
16892.0000        82       206         5
20678.0000       211        98         3
13843.0000       109       127         5
39725.0000       175       227         1
22400.0000       160       140         3
55000.0000       220       250         1
11500.0000       125        92         4
12342.0000       102       121         5
30831.0000       129       239         2
17741.0000       113       157         1
28836.0000       178       162         4
22477.0000       133       169         1
18018.0000       182        99         2
33000.0000       150       220         1
14848.0000       116       128         6
24768.0000       172       144         2
25112.0000       146       172         1
18944.0000       148       128         4
18144.0000       189        96         4
22058.0000        82       269         3
32214.0000       182       177         1
13870.0000        95       146         4
