        25       856       785
79002.0000       198       399         5
94335.0000       331       285         2
190848.0000       497       384         3
93692.0000       397       236         2
105808.0000       272       389         2
211090.0000       505       418         3
89820.0000       499       180         3
117248.0000       256       458         1
76766.0000       293       262         2
84378.0000       287       294         4
56160.0000       180       312         5
90694.0000       331       274         4
95484.0000       438       218         3
186590.0000       397       470         2
172044.0000       486       354         5
99235.0000       223       445         2
171990.0000       351       490         2
144152.0000       487       296         3
47294.0000       214       221         2
145452.0000       527       276         2
69378.0000       186       373         8
85590.0000       270       317         3
123134.0000       386       319         2
106890.0000       509       210         3
83328.0000       434       192         3
