        40       794       985
29388.0000       124       237         7
37185.0000       185       201         4
64119.0000       319       201         1
68985.0000       219       315         5
117344.0000       386       304         5
60207.0000       183       329         6
37250.0000       250       149         4
119214.0000       222       537         3
70143.0000       309       227         3
57057.0000       273       209         4
66950.0000       325       206         2
144824.0000       344       421         4
188860.0000       380       497         2
68628.0000       301       228         4
106749.0000       261       409         1
39964.0000       194       206         3
52500.0000       175       300         6
62464.0000       256       244         1
62586.0000       183       342         2
65142.0000       282       231         4
47922.0000       326       147         4
63516.0000       268       237         2
139008.0000       384       362         1
90024.0000       248       363         3
108560.0000       295       368         1
128520.0000       315       408         2
101106.0000       411       246         3
108864.0000       189       576         3
81954.0000       261       314         3
69142.0000       181       382         7
93952.0000       256       367         5
146160.0000       315       464         3
104346.0000       186       561         2
59118.0000       167       354         3
133500.0000       500       267         2
147423.0000       313       471         1
157932.0000       492       321         2
65260.0000       251       260         7
102648.0000       282       364         1
113256.0000       429       264         3
