        25       563       458
65322.0000       342       191         1
40560.0000       169       240         1
30967.0000       173       179         3
44704.0000       176       254         2
33702.0000       274       123         2
25740.0000       234       110         2
83160.0000       360       231         1
35604.0000       172       207         3
33288.0000       146       228         3
42432.0000       156       272         2
69440.0000       248       280         1
25437.0000       183       139         4
63720.0000       354       180         2
50629.0000       257       197         3
40044.0000       188       213         1
34563.0000       123       281         3
68724.0000       332       207         2
69892.0000       346       202         1
56854.0000       262       217         3
41210.0000       317       130         1
31050.0000       225       138         2
19968.0000       128       156         7
43254.0000       267       162         3
26208.0000       224       117         1
28044.0000       164       171         2
