        45       285       354
17427.0000       111       157         2
14946.0000        94       159         1
16470.0000       122       135         1
 6966.0000        81        86         5
22148.0000       113       196         2
22842.0000       162       141         1
19040.0000       119       160         2
19000.0000       125       152         2
11919.0000        87       137         1
16050.0000        75       214         1
16375.0000       131       125         2
12360.0000       103       120         4
25404.0000       174       146         1
17688.0000        88       201         1
16060.0000        73       220         2
12426.0000       114       109         6
 6080.0000        76        80         7
 5700.0000        57       100         1
22272.0000       174       128         1
11590.0000        61       190         1
15264.0000       159        96         2
14028.0000       167        84         1
12870.0000        78       165         5
 7227.0000        73        99         2
14560.0000       112       130         4
14529.0000       167        87         1
25830.0000       123       210         2
25080.0000       120       209         1
17625.0000       125       141         1
12012.0000        66       182         4
 7176.0000        92        78         8
13035.0000        79       165         1
10340.0000       110        94         6
 8514.0000        86        99         3
13260.0000       130       102         4
28950.0000       150       193         1
19402.0000       178       109         3
25806.0000       138       187         1
27383.0000       139       197         2
 7821.0000        99        79         6
10528.0000        94       112         5
17024.0000       128       133         2
 9775.0000        85       115         2
32340.0000       154       210         1
24720.0000       120       206         1
