        35       150       175
 3432.0000        78        44         2
 4480.0000        64        70         2
 3640.0000        52        70         3
 7900.0000        79       100         1
 3960.0000        66        60         1
 3159.0000        81        39         2
 8554.0000        91        94         1
 3696.0000        66        56         4
 4550.0000        91        50         2
 6528.0000        96        68         1
 4480.0000        40       112         3
 8056.0000        76       106         1
 2205.0000        63        35         8
 5160.0000        86        60         2
 7812.0000        93        84         1
 8740.0000        95        92         1
 3990.0000        70        57         1
 4686.0000        66        71         1
 6552.0000        84        78         1
 3417.0000        51        67         4
 3026.0000        34        89         2
 6699.0000        77        87         2
 2904.0000        44        66         4
 5776.0000        76        76         2
 2250.0000        50        45         1
 2376.0000        36        66         4
 2508.0000        38        66         4
 2925.0000        75        39         6
 7931.0000        77       103         1
 2250.0000        50        45         8
 8560.0000        80       107         1
 3294.0000        61        54         5
 2945.0000        31        95         2
 2613.0000        39        67         5
 6426.0000        63       102         1
