        50       405       362
    273.00       137       230         2
    550.00       204        98         1
    702.00       260       122         2
    337.00       205       168         1
    542.00       252        77         1
    213.00       110       132         3
    346.00       162       217         1
    552.00       106       164         3
    731.00       123        75        10
    616.00       229       202         1
    442.00        83       228         1
    609.00       192       153         3
    404.00       257       222         1
    840.00       257       151         1
    899.00       259       220         1
    792.00       213       141         2
    973.00       217       170         2
    698.00       131       158         4
    441.00       114       150         4
    700.00       196       179         3
    728.00       103       200         3
    205.00       186       234         2
    444.00       190       176         4
    668.00       233       163         2
    205.00       115       106         8
    779.00       159       200         2
    160.00       253       185         1
    683.00       133       204         2
    739.00       213       201         1
    841.00       103       212         1
    372.00       121       189         2
    326.00       214       160         2
    505.00       204       200         1
    476.00       109        91         4
    978.00       118        95         8
    461.00       118       110         2
    751.00       102       184         2
    680.00       152       100         3
    898.00       226       116         1
    389.00       114       134         3
    365.00       179        89         3
    217.00        88        87         9
    311.00       254       137         1
    978.00       135       154         4
    240.00       164       229         2
    764.00       162       123         4
    544.00       216       200         1
    722.00       175       176         4
    606.00       185       182         1
    940.00       257       207         1
