        60       982       967
    334.00       278       613         2
    669.00       564       347         2
    240.00       431       203         6
    159.00       199       590         1
    243.00       576       608         1
    505.00       481       573         1
    154.00       359       296         2
    196.00       536       585         1
    525.00       385       486         2
    323.00       636       399         2
    426.00       580       570         1
    306.00       539       587         1
    613.00       477       323         1
    841.00       466       278         6
    827.00       504       592         1
    283.00       498       577         1
    232.00       322       496         2
    733.00       211       464         1
    441.00       542       296         2
    807.00       590       619         1
    330.00       321       414         2
    537.00       489       546         2
    696.00       532       623         1
    763.00       275       402         6
    675.00       505       443         1
    153.00       288       320         1
    719.00       465       275         2
    252.00       450       425         3
    362.00       484       279         6
    848.00       434       411         4
    415.00       494       274         2
    464.00       384       289         1
    211.00       534       489         1
    205.00       571       590         1
    278.00       629       537         1
    146.00       414       580         2
    630.00       455       555         1
    514.00       410       498         1
    527.00       350       504         1
    240.00       467       511         1
    626.00       387       482         1
    299.00       569       615         1
    591.00       545       404         2
    442.00       328       599         1
    354.00       488       348         1
    595.00       406       547         2
    762.00       544       428         1
    363.00       262       291         1
    155.00       365       611         1
    782.00       265       380         5
    427.00       354       392         4
    689.00       220       432         2
    583.00       198       524         4
    702.00       415       366         1
    819.00       437       313         5
    499.00       438       194         1
    230.00       620       201         1
    806.00       432       593         1
    551.00       580       500         1
    342.00       614       491         1
