        39       465       387
    366.00       240       227         1
    168.00       288       191         1
    328.00       112       177         8
    458.00       156       235         1
    334.00       147       141         2
    696.00       236       181         2
    613.00       119       226         2
    576.00       216       243         2
    435.00       152       132         4
    601.00       259       132         1
    499.00       140       231         2
    557.00       155       228         2
    682.00       122       111         6
    656.00       256       115         3
    292.00       289       222         1
    442.00       265       231         1
    633.00       275       215         1
    152.00       297       205         1
    626.00       168       100         2
    405.00       235       199         1
    547.00       236       111         3
    551.00       171       230         1
    250.00       222       172         1
    169.00       265       209         1
    505.00       234       236         1
    749.00       285        86         3
    191.00       144        79         7
    497.00       186       227         1
    687.00       133       112         4
    236.00       253       163         1
    203.00       215       243         2
    321.00       190       225         2
    519.00       212       183         1
    309.00       145       204         2
    291.00       108       147         4
    155.00       151        96         5
    171.00       215       145         1
    317.00       263       156         1
    180.00       208       153         1
