        25       125       105
    283.00        42        41         3
    256.00        28        65         1
    221.00        28        63         2
    704.00        31        38         3
    648.00        69        24         2
    298.00        35        35         6
    442.00        47        55         2
    640.00        78        22         1
    534.00        33        30         8
    406.00        77        47         1
    469.00        35        41         4
    186.00        55        34         2
    291.00        72        66         1
    665.00        37        64         3
    399.00        48        26         6
    456.00        51        21         1
    201.00        58        40         2
    424.00        44        22         6
    414.00        41        61         2
    629.00        59        36         2
    362.00        25        30         4
    376.00        47        23         1
    414.00        56        65         2
    693.00        29        64         1
    456.00        78        58         1
