        45       276       374
    602.00       148       108         3
    741.00        93        90         6
    853.00        74       227         2
    166.00       164       121         3
    462.00       165       134         1
    966.00       144       217         1
    818.00        78       118         8
    512.00       120       120         2
    222.00       110       106         2
    665.00       163       156         1
    872.00       133        87         2
    422.00        70       242         2
    969.00       132       213         1
    367.00        86       197         3
    567.00       120       182         3
    245.00        57       234         4
    758.00       145       230         1
    899.00       139       233         1
    292.00       109       219         1
    847.00        81       206         2
    867.00       138       198         1
    504.00        70       214         3
    882.00       137        95         4
    780.00       150       230         1
    780.00       125       213         1
    958.00        74       116         2
    896.00        84       227         2
    502.00        91       229         3
    934.00       149       230         1
    668.00        66       223         4
    204.00        93       109         4
    468.00        56        99         6
    586.00       168       232         1
    819.00        80       148         5
    283.00       135       212         1
    231.00       152       125         1
    279.00       169       139         2
    747.00        69        96        12
    623.00       106       110         2
    269.00       140       177         1
    601.00        70       158         6
    790.00        82       140         6
    276.00        57       195         3
    697.00       176       206         1
    397.00       148       161         1
