        40       267       207
    436.00       165        74         1
    507.00       159        82         1
    200.00       109        49         7
    300.00       112        93         2
    655.00       161        65         3
    512.00       155        80         1
    466.00        97       111         2
    466.00        99       130         2
    541.00       170        51         4
    278.00        62        74         4
    420.00       162        76         1
    725.00       148        46         1
    370.00        67        56         6
    180.00       117        81         3
    466.00       105       117         1
    471.00       121       110         1
    337.00       108        91         2
    335.00        84       114         3
    674.00       139        53         3
    533.00       132       105         1
    425.00       103        61         1
    666.00       108        78         4
    539.00        74        73         2
    619.00        97        88         2
    425.00       136        59         2
    686.00        98       113         2
    725.00       155        75         2
    742.00        59       102         3
    198.00        96        53         4
    525.00       126       105         2
    553.00        76       100         1
    248.00        84        72         5
    280.00       103       113         1
    661.00        69        91         3
    738.00       124        69         6
    559.00       135        45         1
    269.00        71       119         1
    379.00       154       125         1
    500.00       153        47         3
    668.00       109        88         1
