        35       524       678
    359.00       317       366         1
    270.00       173       354         1
    836.00       281       330         1
    976.00       221       190         5
    628.00       275       323         1
    488.00       195       394         1
    881.00       133       266         5
    605.00       158       254         2
    423.00       151       340         3
    663.00       335       400         1
    591.00       174       371         3
    492.00       249       225         3
    637.00       191       222         1
    259.00       263       431         1
    331.00       181       319         4
    398.00       257       242         2
    999.00       164       158         8
    574.00       168       277         6
    249.00       213       252         2
    355.00       153       275         4
    890.00       257       266         1
    360.00       283       262         1
    751.00       306       407         1
    861.00       247       191         5
    897.00       141       181         4
    631.00       230       413         1
    882.00       192       148         8
    246.00       188       344         1
    236.00       106       259         2
    280.00       185       344         1
    465.00       167       364         3
    464.00       271       371         1
    557.00       121       412         4
    358.00       300       339         2
    422.00       298       428         1
