        55       781       657
    531.00       325       262         2
    439.00       453       245         2
    597.00       181       349         4
    993.00       317       299         3
    159.00       221       325         3
    506.00       495       343         1
    328.00       308       372         2
    307.00       228       377         3
    736.00       186       306         2
    753.00       447       194         2
    296.00       433       223         2
    222.00       401       158         2
    358.00       353       195         1
    676.00       255       206         2
    915.00       317       311         1
    541.00       245       299         3
    513.00       279       164         8
    894.00       376       401         2
    691.00       351       229         3
    724.00       247       426         3
    188.00       391       382         1
    358.00       163       388         3
    218.00       330       145         5
    868.00       271       228         3
    165.00       479       361         1
    192.00       384       341         1
    927.00       496       389         1
    652.00       181       369         4
    407.00       471       348         1
    197.00       173       355         4
    261.00       177       290         3
    906.00       262       334         1
    605.00       408       372         1
    261.00       312       297         1
    215.00       187       228         8
    274.00       450       305         2
    387.00       503       182         2
    738.00       280       344         1
    195.00       330       260         4
    956.00       346       320         2
    658.00       391       281         1
    608.00       171       161        10
    255.00       238       295         6
    880.00       206       152         8
    562.00       400       184         2
    353.00       417       399         1
    888.00       202       199         7
    446.00       493       225         1
    556.00       305       291         3
    977.00       166       175         3
    742.00       401       264         1
    556.00       180       143         2
    795.00       461       355         1
    736.00       439       338         1
    729.00       262       412         2
