        60       305       287
    201.00        75        90        11
    287.00       111       119         3
    383.00       183       105         2
    257.00        69        96         1
    179.00        98       117         6
    205.00        85       145         3
    273.00       102       163         1
    271.00        93        77         6
    386.00        62       167         4
    140.00       143        64         1
    409.00       155       128         1
    250.00       183       162         1
    316.00       160       135         1
    208.00       107       173         1
    487.00       156       133         2
    270.00       173        97         1
    194.00       102        59         7
    291.00       181        94         3
    397.00       195       150         1
    226.00       114       181         2
    178.00        75        67        10
    267.00       151        85         6
    320.00       177        72         3
    284.00       100        87         2
    267.00        93       110         5
    390.00       184       129         1
    447.00        79       134         2
    287.00       185       155         1
    140.00       159       118         2
    293.00       127       118         4
    211.00       189       143         1
    296.00        89       117         1
    316.00        96       157         3
    461.00       167       114         2
    199.00       104        72         2
    231.00       184       127         1
    322.00       169       143         2
    542.00       139        68         6
    359.00        74       182         3
    276.00       190        89         2
    349.00       174       112         1
    203.00        63       127         3
    491.00        76       115         3
    267.00       154       148         1
    194.00       122       131         3
    221.00       155       106         2
    286.00        61       138         7
    190.00       155       162         1
    386.00        76        76         2
    245.00       131       124         4
    480.00       105        80         1
    213.00        89       155         2
    549.00       104        99         4
    202.00       169        69         4
    373.00       186        81         3
    186.00       195        73         3
    200.00       114       183         1
    392.00       170       156         1
    269.00       195        78         3
    243.00       145       106         2
