        60       992       970
    334.00       278       613         2
    669.00       564       347         3
    240.00       431       203         5
    159.00       199       590         2
    243.00       576       608         1
    505.00       481       573         2
    154.00       359       296         2
    196.00       536       585         1
    525.00       385       486         3
    323.00       636       399         3
    426.00       580       570         1
    306.00       539       587         1
    613.00       477       323         2
    841.00       466       278         4
    827.00       504       592         1
    283.00       498       577         1
    232.00       322       496         2
    733.00       211       464         3
    441.00       542       296         3
    807.00       590       619         1
    330.00       321       414         3
    537.00       489       546         1
    696.00       532       623         1
    763.00       275       402         4
    675.00       505       443         1
    153.00       288       320         2
    719.00       465       275         3
    252.00       450       425         3
    362.00       484       279         5
    848.00       434       411         4
    415.00       494       274         4
    464.00       384       289         1
    211.00       534       489         1
    205.00       571       590         1
    278.00       629       537         1
    146.00       414       580         2
    630.00       455       555         1
    514.00       410       498         1
    527.00       350       504         2
    240.00       467       511         1
    626.00       387       482         2
    299.00       569       615         1
    591.00       545       404         2
    442.00       328       599         2
    354.00       488       348         1
    595.00       406       547         2
    762.00       544       428         1
    363.00       262       291         4
    155.00       365       611         1
    782.00       265       380         4
    427.00       354       392         3
    689.00       220       432         4
    583.00       198       524         4
    702.00       415       366         1
    819.00       437       313         5
    499.00       438       194         3
    230.00       620       201         1
    806.00       432       593         1
    551.00       580       500         1
    342.00       614       491         2
