        20        33        69

      1333        31        43         1
      1230        30        41         1
      1131        29        39         1
      1064        28        38         1
       999        27        37         1
       936        26        36         1
       875        25        35         2
       816        24        34         2
       759        33        23         3
       704        22        32         2
       651        31        21         3
       522        29        18         3
       459        17        27         2
       400        16        25         4
       360        15        24         2
       360        15        24         1
       322        23        14         4
       252        21        12         3
       209        19        11         4
       153         9        17         1

