   20        40        70

  500        31        43       4
  480        30        41       2
  460        29        39       4
  440        28        38       4
  420        27        37       3
  410        26        36       4
  400        25        35       3
  380        24        34       4
  360        33        23       4
  340        22        32       3
  320        31        21       3
  300        29        18       3
  280        17        27       2
  240        15        24       2
  260        16        25       4
  240        15        24       1
  220        23        14       4
  180        21        12       3
  160        19        11       4
  140         9        17       1

